,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
2183,ELEC,SUNY BROOME SUNY BROOME #3,907 Front St,Binghamton,NY,13905,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.135459,-75.912774,181005,J1772,US,public,,,,,Southern Tier,Broome County,SUNY BROOME SUNY BROOME #3,2,1,,,ChargePoint Network
2184,ELEC,SUNY BROOME SUNY BROOME #2,907 Front St,Binghamton,NY,13905,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.135464,-75.912721,181006,J1772,US,public,,,,,Southern Tier,Broome County,SUNY BROOME SUNY BROOME #2,2,1,,,ChargePoint Network
2272,ELEC,69 COLLIER ST STATION 1,7 Hawley St,Binghamton,NY,13901,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.097843,-75.914101,182199,J1772,US,public,,,,,Southern Tier,Broome County,69 COLLIER ST STATION 1,2,1,,,ChargePoint Network
2350,ELEC,Red Roof Inn,650 Old Front St,Binghamton,NY,13905,E,"24 hours daily; also accepts PayPal, Apple Pay",,2,,,EV Connect,200-9,42.125257,-75.909301,184039,J1772,US,public,CREDIT_CARD_ALWAYS,,HOTEL,,Southern Tier,Broome County,Red Roof Inn,2,1,,,EV Connect
556,ELEC,Holiday Inn Express Olean - Tesla Destination,101 Main St,Olean,NY,14760,E,24 hours daily; for customer use only,,3,,,Tesla Destination,200-9,42.087509,-78.42909,115202,J1772 TESLA,US,public,CALL,,HOTEL,Free,Western New York,Cattaraugus County,Holiday Inn Express Olean - Tesla Destination,3,1,,,Tesla Destination
557,ELEC,Best Western Plus University Inn - Tesla Destination,3051 W State St,Olean,NY,14760,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-9,42.07645,-78.46697,115203,J1772 TESLA,US,public,,,HOTEL,Free,Western New York,Cattaraugus County,Best Western Plus University Inn - Tesla Destination,3,1,,,Tesla Destination
558,ELEC,Fairfield Inn & Suites by Marriott Olean - Tesla Destination,3270 W State St,Olean,NY,14760,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-9,42.080327,-78.47779,115204,J1772 TESLA,US,public,,,HOTEL,Free,Western New York,Cattaraugus County,Fairfield Inn & Suites by Marriott Olean - Tesla Destination,3,1,,,Tesla Destination
613,ELEC,Seneca Allegany Resort & Casino - Tesla Supercharger,777 Seneca Allegany Boulevard,Salamanca,NY,14779,E,24 hours daily; for Tesla use only,,,8,,Tesla,GPS,42.1533,-78.7479,117729,TESLA,US,public,,,HOTEL,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,Western New York,Cattaraugus County,Seneca Allegany Resort & Casino - Tesla Supercharger,,,8,1,Tesla
1199,ELEC,Salamanca City Hall,225 Wildwood Ave,Salamanca,NY,14779,E,24 hours daily,,1,,,Non-Networked,GPS,42.157913,-78.708146,157959,J1772,US,public,,,MUNI_GOV,,Western New York,Cattaraugus County,Salamanca City Hall,1,1,,,Non-Networked
1200,ELEC,Nannen Arboretum,28 Parkside Dr,Ellicottville,NY,14731,E,24 hours daily,,2,,,Non-Networked,GPS,42.283144,-78.669294,157960,J1772,US,public,,,PARK,,Western New York,Cattaraugus County,Nannen Arboretum,2,1,,,Non-Networked
1323,ELEC,NATIONAL GRID KOHLS OLEAN,N Barry St,Olean,NY,14760,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.081885,-78.427994,162237,J1772,US,public,,,,,Western New York,Cattaraugus County,NATIONAL GRID KOHLS OLEAN,2,1,,,ChargePoint Network
1335,ELEC,NATIONAL GRID HOLIDAY VALLEY,6081 US-219,Ellicottville,NY,14731,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.2618,-78.663077,162249,J1772,US,public,,,,,Western New York,Cattaraugus County,NATIONAL GRID HOLIDAY VALLEY,2,1,,,ChargePoint Network
22,ELEC,Lebrun Nissan,396 Grant Ave,Auburn,NY,13021,E,Dealership business hours,,1,,,Non-Networked,200-9,42.966894,-76.535879,44321,J1772,US,public,CALL,,CAR_DEALER,Free,Central New York,Cayuga County,Lebrun Nissan,1,1,,,Non-Networked
158,ELEC,Fair Haven Public Works,14523 Cayuga St,Fair Haven,NY,13156,E,24 hours daily,,2,,,EV Connect,200-9,43.319653,-76.698558,94838,J1772,US,public,,,MUNI_GOV,,Central New York,Cayuga County,Fair Haven Public Works,2,1,,,EV Connect
1143,ELEC,Village of Union Springs,26 Creamery Rd,Union Springs,NY,13160,E,24 hours daily; Also accepts Paypal,,2,,,EV Connect,GPS,42.844732,-76.695984,155077,J1772,US,public,,,PARK,,Central New York,Cayuga County,Village of Union Springs,2,1,,,EV Connect
1415,ELEC,PARKING GARAGE1 PARKING GARAGE,1 Lincoln St,Auburn,NY,13021,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.930293,-76.567186,162333,J1772,US,public,,,,,Central New York,Cayuga County,PARKING GARAGE1 PARKING GARAGE,2,1,,,ChargePoint Network
43,ELEC,Shults Nissan,311 Fluvanna Ave,Jamestown,NY,14701,E,Dealership business hours,,1,,,Non-Networked,200-9,42.115661,-79.253776,49932,J1772,US,public,CALL,,CAR_DEALER,Free,Western New York,Chautauqua County,Shults Nissan,1,1,,,Non-Networked
91,ELEC,Jamestown Community College,525 Falconer St,Jamestown,NY,14702,E,24 hours daily,,2,,,EV Connect,GPS,42.114535,-79.217718,65299,J1772,US,public,,,COLLEGE_CAMPUS,Free,Western New York,Chautauqua County,Jamestown Community College,2,1,,,EV Connect
164,ELEC,Central Parking Corp,15 W 5th St,Jamestown,NY,14701,E,Garage business hours,,2,,,EV Connect,200-9,42.097522,-79.242525,94845,J1772,US,public,,,PAY_GARAGE,,Western New York,Chautauqua County,Central Parking Corp,2,1,,,EV Connect
731,ELEC,Jamestown Park and Ride,2870 N Main St Extension,Jamestown,NY,14701,E,24 hours daily,,2,,,EV Connect,GPS,42.122334,-79.240661,123095,J1772,US,public,,,PARKING_LOT,,Western New York,Chautauqua County,Jamestown Park and Ride,2,1,,,EV Connect
1195,ELEC,Village Hall,20 W Summit St,Lakewood,NY,14750,E,24 hours daily,,2,,,Non-Networked,GPS,42.103591,-79.328576,157955,J1772,US,public,,,MUNI_GOV,,Western New York,Chautauqua County,Village Hall,2,1,,,Non-Networked
1196,ELEC,Busti Town Hall,125 Chautauqua Ave,Lakewood,NY,14750,E,24 hours daily,,2,,,Non-Networked,GPS,42.102039,-79.325406,157956,J1772,US,public,,,MUNI_GOV,,Western New York,Chautauqua County,Busti Town Hall,2,1,,,Non-Networked
1197,ELEC,Lucille Ball Memorial Park,42 Dunham Ave,Celoron,NY,14701,E,24 hours daily,,2,,,Non-Networked,GPS,42.110155,-79.28285,157957,J1772,US,public,,,PARK,,Western New York,Chautauqua County,Lucille Ball Memorial Park,2,1,,,Non-Networked
1320,ELEC,NATIONAL GRID CHADWICK MARINA,30 Central Ave,Dunkirk,NY,14048,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.487682,-79.335875,162234,J1772,US,public,,,,,Western New York,Chautauqua County,NATIONAL GRID CHADWICK MARINA,2,1,,,ChargePoint Network
1321,ELEC,CHAUTAUQUA CHAUTUAQUA,3375 E Main St,Dunkirk,NY,14048,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.464198,-79.280122,162235,J1772,US,public,,,,,Western New York,Chautauqua County,CHAUTAUQUA CHAUTUAQUA,2,1,,,ChargePoint Network
1353,ELEC,4TH & LAFAYETTE FAST CHARGER 01,402 Lafayette St,Jamestown,NY,14701,E,24 hours daily,,,1,,ChargePoint Network,GPS,42.096388,-79.245617,162268,CHADEMO J1772COMBO,US,public,,,,,Western New York,Chautauqua County,4TH & LAFAYETTE FAST CHARGER 01,,,1,1,ChargePoint Network
1690,ELEC,Jamestown Board of Public Utilities,2870 N Main St Extension,Jamestown,NY,14701,E,24 hours daily; Also accepts Paypalv,,2,,,EV Connect,200-9,42.122304,-79.240492,166352,J1772,US,public,CREDIT_CARD_ALWAYS,,UTILITY,,Western New York,Chautauqua County,Jamestown Board of Public Utilities,2,1,,,EV Connect
1733,ELEC,Walmart 1949 Fredonia,10401 Bennett Road,Fredonia,NY,14063,E,24 hours daily,,,4,,Electrify America,GPS,42.453787,-79.311176,168359,CHADEMO J1772COMBO,US,public,,,,,Western New York,Chautauqua County,Walmart 1949 Fredonia,,,4,1,Electrify America
34,ELEC,Simmons Rockwell Nissan,224 Colonial Dr,Horseheads,NY,14845,E,Dealership business hours; contact 607-398-6666 for more information,,1,1,,Non-Networked,GPS,42.16246,-76.867435,44348,CHADEMO J1772 J1772COMBO,US,public,CALL,,CAR_DEALER,Free,Southern Tier,Chemung County,Simmons Rockwell Nissan,1,1,1,1,Non-Networked
198,ELEC,Town of Veteran,4049 Watkins Rd,Millport,NY,14864,E,24 hours daily,,2,,,Non-Networked,200-9,42.250834,-76.838332,99950,J1772,US,public,,,MUNI_GOV,Free,Southern Tier,Chemung County,Town of Veteran,2,1,,,Non-Networked
312,ELEC,Fairfield Inn & Suites by Marriott Elmira Corning - Tesla Destination,1600 County Rd 64,Horseheads,NY,14845,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-9,42.15882,-76.85612,114953,J1772 TESLA,US,public,,,HOTEL,Free,Southern Tier,Chemung County,Fairfield Inn & Suites by Marriott Elmira Corning - Tesla Destination,3,1,,,Tesla Destination
313,ELEC,Courtyard by Marriott Elmira Horseheads - Tesla Destination,202 Colonial Dr,Horseheads,NY,14845,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-8,42.161972,-76.867318,114954,J1772 TESLA,US,public,,,HOTEL,Free,Southern Tier,Chemung County,Courtyard by Marriott Elmira Horseheads - Tesla Destination,3,1,,,Tesla Destination
314,ELEC,Hilton Garden Inn Elmira/Corning - Tesla Destination,35  Arnot Rd,Horseheads,NY,14845,E,24 hours daily; for customer use only; see front desk for access,,2,,,Tesla Destination,200-8,42.162052,-76.873535,114955,TESLA,US,public,,,HOTEL,Free,Southern Tier,Chemung County,Hilton Garden Inn Elmira/Corning - Tesla Destination,2,1,,,Tesla Destination
615,ELEC,Elm Chevrolet,301 E Church St,Elmira,NY,14901,E,Dealership business hours,,,1,,Non-Networked,GPS,42.091802,-76.804195,117740,J1772COMBO,US,public,CALL,,CAR_DEALER,Free,Southern Tier,Chemung County,Elm Chevrolet,,,1,1,Non-Networked
1193,ELEC,Town of Elmira,1255 W Water St,Elmira,NY,14905,E,24 hours daily,,2,,,EV Connect,GPS,42.07722,-76.844582,157947,J1772,US,public,,,MUNI_GOV,,Southern Tier,Chemung County,Town of Elmira,2,1,,,EV Connect
1240,ELEC,IBEW139 EDUCATI STATION 1,415 W 2nd St,Elmira,NY,14901,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.089325,-76.816073,162150,J1772,US,public,,,,,Southern Tier,Chemung County,IBEW139 EDUCATI STATION 1,2,1,,,ChargePoint Network
6,ELEC,Huttig Nissan,4670 State Route 9,Plattsburgh,NY,12901,E,Dealership business hours,,1,,,Non-Networked,200-9,44.667361,-73.444894,44182,J1772,US,public,CALL,,CAR_DEALER,Free,North Country,Clinton County,Huttig Nissan,1,1,,,Non-Networked
83,ELEC,Market 32,19 Centre Dr,Plattsburgh,NY,12901,E,24 hours daily,,2,,,Non-Networked,200-9,44.695363,-73.492162,65281,J1772,US,public,,,GROCERY,,North Country,Clinton County,Market 32,2,1,,,Non-Networked
92,ELEC,Rouses Point,139 Lake St,Rouses Point,NY,12979,E,24 hours daily,,2,,,EV Connect,200-9,44.991537,-73.36399,65302,J1772,US,public,,,PAY_GARAGE,,North Country,Clinton County,Rouses Point,2,1,,,EV Connect
155,ELEC,Village of Champlain,1104 Route 9,Champlain,NY,12919,E,24 hours daily,,2,,,EV Connect,200-9,44.983225,-73.444864,94835,J1772,US,public,,,MUNI_GOV,,North Country,Clinton County,Village of Champlain,2,1,,,EV Connect
213,ELEC,Champlain Centre - Tesla Supercharger,60 Smithfield Blvd.,Plattsburgh,NY,12901,E,24 hours daily; for Tesla use only,,,8,,Tesla,200-8,44.7045,-73.4918,102340,TESLA,US,public,,,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,North Country,Clinton County,Champlain Centre - Tesla Supercharger,,,8,1,Tesla
565,ELEC,"Best Western Plus, Plattsburgh - Tesla Destination",446 Route #3,Plattsburgh,NY,12901,E,24 hours daily; for customer use only; see front desk for access,,2,,,Tesla Destination,200-9,44.69659,-73.49153,115211,TESLA,US,public,,,HOTEL,Free,North Country,Clinton County,"Best Western Plus, Plattsburgh - Tesla Destination",2,1,,,Tesla Destination
713,ELEC,Black Brook Town Offices,18 N Main St,Au Sable Forks,NY,12912,E,24 hours daily,,2,,,EV Connect,GPS,44.4425278,-73.6746031,123072,J1772,US,public,,,OFFICE_BLDG,,North Country,Clinton County,Black Brook Town Offices,2,1,,,EV Connect
860,ELEC,City of Plattsburgh - City Hall,41 City Hall Pl,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,200-9,44.69926,-73.452022,143788,J1772,US,public,,,MUNI_GOV,Free,North Country,Clinton County,City of Plattsburgh - City Hall,3,1,,,ChargePoint Network
1109,ELEC,DELLA HONDA SHOP02,702 NY-3,Plattsburgh,NY,12901,E,24 hours daily,,1,,,ChargePoint Network,GPS,44.695726,-73.515764,154583,J1772,US,public,,,,,North Country,Clinton County,DELLA HONDA SHOP02,1,1,,,ChargePoint Network
1249,ELEC,JATC IBEW LU910 OHIO AVE 1,111 Ohio Ave,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,GPS,44.683044,-73.447391,162161,J1772,US,public,,,,,North Country,Clinton County,JATC IBEW LU910 OHIO AVE 1,2,1,,,ChargePoint Network
1640,ELEC,AMBEMA CORP. STATION 1.1,579 NY-3,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,GPS,44.695385,-73.50472,164860,J1772,US,public,,,,,North Country,Clinton County,AMBEMA CORP. STATION 1.1,2,1,,,ChargePoint Network
1641,ELEC,SANTOSHI CORP STATION 1.1,412 Cornelia St,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,GPS,44.698734,-73.48811,164861,J1772,US,public,,,,,North Country,Clinton County,SANTOSHI CORP STATION 1.1,2,1,,,ChargePoint Network
1709,ELEC,HAWKINS P2 ST 1 SUNYPLATTSBURGH,47 Beekman Street,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,GPS,44.697682,-73.46752,167180,J1772,US,public,,,,,North Country,Clinton County,HAWKINS P2 ST 1 SUNYPLATTSBURGH,2,1,,,ChargePoint Network
1823,ELEC,BUTCHER BLOCK BUTCHER BLOCK 1,15 Booth Dr,Plattsburgh,NY,12901,E,24 hours daily,,2,,,ChargePoint Network,GPS,44.69712,-73.498215,170148,J1772,US,public,,,,,North Country,Clinton County,BUTCHER BLOCK BUTCHER BLOCK 1,2,1,,,ChargePoint Network
119,ELEC,Catamount Ski,78 Catamount Rd,Hillsdale,NY,12529,E,10am-5:30pm daily,2,2,,,Non-Networked,200-8,42.171859,-73.477728,85949,J1772 NEMA1450 NEMA520,US,public,CALL,,REC_SPORTS_FACILITY,Free,Capital Region,Columbia County,Catamount Ski,2,1,,,Non-Networked
305,ELEC,Hawthorne Valley - Tesla Destination,330 Country Rte 21C,Ghent,NY,12075,E,24 hours daily,,6,,,Tesla Destination,200-8,42.270437,-73.593885,114946,J1772 TESLA,US,public,,,SHOPPING_CENTER,Free,Capital Region,Columbia County,Hawthorne Valley - Tesla Destination,6,1,,,Tesla Destination
315,ELEC,The Wick Hotel - Tesla Destination,41 Cross St,Hudson,NY,12534,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,200-9,42.253073,-73.796003,114956,J1772 TESLA,US,public,,,HOTEL,Free,Capital Region,Columbia County,The Wick Hotel - Tesla Destination,3,1,,,Tesla Destination
611,ELEC,Village of Kinderhook,3 Hudson St,Kinderhook,NY,12106,E,24 hours daily,,2,,,Non-Networked,200-9,42.395119,-73.696947,117325,J1772,US,public,,,MUNI_GOV,Free,Capital Region,Columbia County,Village of Kinderhook,2,1,,,Non-Networked
628,ELEC,NY STATE PARKS LAKE TAGHKANIC,Lake Taghkanic Rd,Ancram,NY,12502,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.090954,-73.720052,120821,J1772,US,public,,,,,Capital Region,Columbia County,NY STATE PARKS LAKE TAGHKANIC,2,1,,,ChargePoint Network
804,ELEC,TF VALATIE TIERA,2424 NY-203,Valatie,NY,12184,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.38161,-73.63922,123655,J1772,US,public,,,,,Capital Region,Columbia County,TF VALATIE TIERA,2,1,,,ChargePoint Network
899,ELEC,CFL-1 LIBRARY RT 23B,9 NY-9H,Claverack-Red Mills,NY,12513,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.22297,-73.73554,146985,J1772,US,public,,,,,Capital Region,Columbia County,CFL-1 LIBRARY RT 23B,2,1,,,ChargePoint Network
938,ELEC,TOWN GERMANTOWN MUNICIPAL LOT,189 Main St,Germantown,NY,12526,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.132595,-73.88265,149273,J1772,US,public,,,,,Capital Region,Columbia County,TOWN GERMANTOWN MUNICIPAL LOT,2,1,,,ChargePoint Network
950,ELEC,CITY HALL 12534 CITY HALL 3,542 Warren St,Hudson,NY,12534,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.249016,-73.78465,149513,J1772,US,public,,,,,Capital Region,Columbia County,CITY HALL 12534 CITY HALL 3,2,1,,,ChargePoint Network
951,ELEC,THE FALLS THE FALLS,158 Union Turnpike,Hudson,NY,12534,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.25175,-73.76392,149522,J1772,US,public,,,,,Capital Region,Columbia County,THE FALLS THE FALLS,2,1,,,ChargePoint Network
1222,ELEC,EVCS@MUNI LOT KINDERHOOK VILL,7 Hudson St,Kinderhook,NY,12106,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.39481,-73.697553,162131,J1772,US,public,,,,,Capital Region,Columbia County,EVCS@MUNI LOT KINDERHOOK VILL,2,1,,,ChargePoint Network
1224,ELEC,TOK EVSE TOWN OF KINDERH,3211 Church St,Valatie,NY,12184,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.415531,-73.676855,162133,J1772,US,public,,,,,Capital Region,Columbia County,TOK EVSE TOWN OF KINDERH,2,1,,,ChargePoint Network
1265,ELEC,NATIONAL GRID KOHLS HUDSON,488 Fairview Ave,Hudson,NY,12534,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.281075,-73.751372,162177,J1772,US,public,,,,,Capital Region,Columbia County,NATIONAL GRID KOHLS HUDSON,2,1,,,ChargePoint Network
1280,ELEC,AUSTERLITZ EVSE AUSTERLITZ EVSE,812 NY-203,Spencertown,NY,12165,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.323037,-73.545487,162193,J1772,US,public,,,,,Capital Region,Columbia County,AUSTERLITZ EVSE AUSTERLITZ EVSE,2,1,,,ChargePoint Network
1343,ELEC,CHATHAM EVC CHATHAM,51 Railroad Ave,Chatham,NY,12037,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.363258,-73.594529,162257,J1772,US,public,,,,,Capital Region,Columbia County,CHATHAM EVC CHATHAM,2,1,,,ChargePoint Network
1393,ELEC,TOWNHALLSTATION HILLSDALE,2609 NY-23,Hillsdale,NY,12529,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.179557,-73.526568,162310,J1772,US,public,,,,,Capital Region,Columbia County,TOWNHALLSTATION HILLSDALE,2,1,,,ChargePoint Network
1681,ELEC,RJCL PARKING 1,9091 NY-22,Hillsdale,NY,12529,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.167957,-73.51782,166204,J1772,US,public,,,,,Capital Region,Columbia County,RJCL PARKING 1,2,1,,,ChargePoint Network
1695,ELEC,Town of Livingston - Town Hall,119 Rt-19,Livingston,NY,12541,E,24 hours daily; Also accepts Paypal,,2,,,EV Connect,GPS,40.782319,-74.314475,166438,J1772,US,public,CREDIT_CARD_ALWAYS,,MUNI_GOV,,Capital Region,Columbia County,Town of Livingston - Town Hall,2,1,,,EV Connect
1978,ELEC,CITY HALL 12534 CITY HALL 2,542 Warren St,Hudson,NY,12534,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.24911,-73.78468,174708,J1772,US,public,,,,,Capital Region,Columbia County,CITY HALL 12534 CITY HALL 2,2,1,,,ChargePoint Network
1979,ELEC,CITY HALL 12534 CITY HALL 1,542 Warren St,Hudson,NY,12534,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.2491,-73.78469,174709,J1772,US,public,,,,,Capital Region,Columbia County,CITY HALL 12534 CITY HALL 1,2,1,,,ChargePoint Network
2295,ELEC,DEPOT SQUARE GHENT,99 Depot Square,Chatham,NY,12037,E,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,2,,,ChargePoint Network,GPS,42.362102,-73.59738,182707,J1772,US,public,,,,,Capital Region,Columbia County,DEPOT SQUARE GHENT,2,1,,,ChargePoint Network
162,ELEC,Homer Recreation Department,53 S Main St,Homer,NY,13077,E,Business hours,,2,,,EV Connect,200-8,42.63465,-76.178589,94843,J1772,US,public,,,REC_SPORTS_FACILITY,,Central New York,Cortland County,Homer Recreation Department,2,1,,,EV Connect
290,ELEC,Hampton Inn Cortland - Tesla Destination,26 River St,Cortland,NY,13045,E,24 hours daily; for customer use only; see front desk for access,,2,,,Tesla Destination,200-8,42.606836,-76.164117,114929,J1772 TESLA,US,public,,,HOTEL,Free,Central New York,Cortland County,Hampton Inn Cortland - Tesla Destination,2,1,,,Tesla Destination
291,ELEC,"Country Inn & Suites By Carlson, Cortland, NY - Tesla Destination",3707 State Rte 281,Cortland,NY,13045,E,24 hours daily; for customer use only; see front desk for access,,3,,,Tesla Destination,GPS,42.58651637,-76.2116752,114930,J1772 TESLA,US,public,,,HOTEL,Free,Central New York,Cortland County,"Country Inn & Suites By Carlson, Cortland, NY - Tesla Destination",3,1,,,Tesla Destination
2324,ELEC,SUNY CORTLAND VAN HOESEN 1.1,91 Van Hoesen Hall,Cortland,NY,13045,E,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,2,,,ChargePoint Network,GPS,42.59759,-76.19155,183386,J1772,US,public,,,,,Central New York,Cortland County,SUNY CORTLAND VAN HOESEN 1.1,2,1,,,ChargePoint Network
2325,ELEC,SUNY CORTLAND NEUBIG 1.2,15 Neubig Rd,Cortland,NY,13045,E,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,2,,,ChargePoint Network,GPS,42.59609,-76.1924,183387,J1772,US,public,,,,,Central New York,Cortland County,SUNY CORTLAND NEUBIG 1.2,2,1,,,ChargePoint Network
2326,ELEC,SUNY CORTLAND PROF STUD 1.3,5 Folmer Dr,Cortland,NY,13045,E,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,2,,,ChargePoint Network,GPS,42.588924,-76.196929,183388,J1772,US,public,,,,,Central New York,Cortland County,SUNY CORTLAND PROF STUD 1.3,2,1,,,ChargePoint Network
2327,ELEC,SUNY CORTLAND DE GROAT 1.4,45 Graham Ave,Cortland,NY,13045,E,Mon 5:00pm - 12:00am; Tue 5:00pm - 12:00am; Wed 5:00pm - 12:00am; Thu 5:00pm - 12:00am; Fri 5:00pm - 12:00am; Sat 6:00am - 12:00am; Sun 6:00am - 12:00am,,2,,,ChargePoint Network,GPS,42.59763,-76.18639,183389,J1772,US,public,,,,,Central New York,Cortland County,SUNY CORTLAND DE GROAT 1.4,2,1,,,ChargePoint Network
744,ELEC,Delaware & Ulster Railroad,43510 Highway 28,Arkville,NY,12406,E,24 hours daily,,1,,,EV Connect,GPS,42.1474371,-74.6149171,123110,J1772,US,public,,,OTHER_ENTERTAINMENT,,Southern Tier,Delaware County,Delaware & Ulster Railroad,1,1,,,EV Connect
1229,ELEC,COLCHESTER EV DOWNSVILLEDINER,15185 NY-30,Downsville,NY,13755,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.079406,-74.993625,162139,J1772,US,public,,,,,Southern Tier,Delaware County,COLCHESTER EV DOWNSVILLEDINER,2,1,,,ChargePoint Network
1468,ELEC,TRANSITION HOBART,11 Cornell Ave,Hobart,NY,13788,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.37219,-74.667225,162389,J1772,US,public,,,,,Southern Tier,Delaware County,TRANSITION HOBART,2,1,,,ChargePoint Network
1470,ELEC,TRANSITION MARGARETVILLE,48 Walnut St,Margaretville,NY,12455,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.148731,-74.649075,162391,J1772,US,public,,,,,Southern Tier,Delaware County,TRANSITION MARGARETVILLE,2,1,,,ChargePoint Network
1471,ELEC,TRANSITION DELHI,39 Elm St,Delhi,NY,13753,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.273618,-74.917881,162392,J1772,US,public,,,,,Southern Tier,Delaware County,TRANSITION DELHI,2,1,,,ChargePoint Network
1854,ELEC,DCEC - N DEPOT DCEC #1,7 Depot St,Delhi,NY,13753,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.271027,-74.919526,171241,J1772,US,public,,,,,Southern Tier,Delaware County,DCEC - N DEPOT DCEC #1,2,1,,,ChargePoint Network
15,ELEC,Poughkeepsie Nissan,1445 Route 9,Wappingers Falls,NY,12590,E,Dealership business hours,,1,,,Non-Networked,200-9,41.587383,-73.908392,44206,J1772,US,public,CALL,,CAR_DEALER,Free,Mid-Hudson,Dutchess County,Poughkeepsie Nissan,1,1,,,Non-Networked
51,ELEC,Ruge's Chevrolet,3692 Route 44,Millbrook,NY,12545,E,Dealership business hours; for customer use only,,1,,,Non-Networked,200-9,41.791563,-73.659717,53442,J1772,US,public,CALL,,CAR_DEALER,Free,Mid-Hudson,Dutchess County,Ruge's Chevrolet,1,1,,,Non-Networked
84,ELEC,Beacon Metro North Train Station,1 Ferry Plaza,Beacon,NY,12508,E,24 hours daily,,4,,,EV Connect,200-8,41.505079,-73.983205,65284,J1772,US,public,,,PAY_LOT,,Mid-Hudson,Dutchess County,Beacon Metro North Train Station,4,1,,,EV Connect
122,ELEC,TOWN OF RED HK REDHOOK 4,7336 S Broadway,Red Hook,NY,12571,E,24 hours daily,,2,,,ChargePoint Network,GPS,41.987112,-73.880113,86019,J1772,US,public,,,,,Mid-Hudson,Dutchess County,TOWN OF RED HK REDHOOK 4,2,1,,,ChargePoint Network
135,ELEC,CVS Pharmacy,7568 N Broadway,Red Hook,NY,12571,E,24 hours daily,,,1,,eVgo Network,GPS,41.997812,-73.87331,93379,CHADEMO J1772COMBO,US,public,KEY_ALWAYS,,,,Mid-Hudson,Dutchess County,CVS Pharmacy,,,1,1,eVgo Network
